"year","month","anomaly"
1879,6,-0.27
1880,6,-0.307
1881,6,-0.23
1882,6,-0.315
1883,6,-0.124
1884,6,-0.411
1885,6,-0.486
1886,6,-0.382
1887,6,-0.404
1888,6,-0.292
1889,6,-0.144
1890,6,-0.371
1891,6,-0.288
1892,6,-0.461
1893,6,-0.459
1894,6,-0.493
1895,6,-0.333
1896,6,-0.119
1897,6,-0.155
1898,6,-0.319
1899,6,-0.39
1900,6,-0.18
1901,6,-0.146
1902,6,-0.424
1903,6,-0.537
1904,6,-0.522
1905,6,-0.314
1906,6,-0.287
1907,6,-0.524
1908,6,-0.472
1909,6,-0.512
1910,6,-0.482
1911,6,-0.567
1912,6,-0.312
1913,6,-0.505
1914,6,-0.281
1915,6,-0.215
1916,6,-0.472
1917,6,-0.357
1918,6,-0.329
1919,6,-0.252
1920,6,-0.211
1921,6,-0.121
1922,6,-0.324
1923,6,-0.243
1924,6,-0.214
1925,6,-0.257
1926,6,-0.087
1927,6,-0.236
1928,6,-0.337
1929,6,-0.351
1930,6,-0.165
1931,6,-0.04
1932,6,-0.191
1933,6,-0.261
1934,6,-0.043
1935,6,-0.188
1936,6,-0.161
1937,6,-0.006
1938,6,-0.059
1939,6,0.062
1940,6,0.034
1941,6,0.119
1942,6,0.034
1943,6,-0.096
1944,6,0.152
1945,6,-0.003
1946,6,-0.255
1947,6,0.004
1948,6,0.069
1949,6,-0.184
1950,6,-0.076
1951,6,0.033
1952,6,0.039
1953,6,0.167
1954,6,-0.126
1955,6,-0.163
1956,6,-0.23
1957,6,0.082
1958,6,-0.015
1959,6,0.062
1960,6,-0.03
1961,6,0.111
1962,6,-0.052
1963,6,-0.033
1964,6,-0.161
1965,6,-0.11
1966,6,0.038
1967,6,-0.081
1968,6,-0.107
1969,6,0.025
1970,6,-0.015
1971,6,-0.235
1972,6,0.008
1973,6,0.11
1974,6,-0.153
1975,6,-0.086
1976,6,-0.25
1977,6,0.112
1978,6,-0.135
1979,6,0.058
1980,6,0.07
1981,6,0.125
1982,6,-0.055
1983,6,0.134
1984,6,-0.015
1985,6,-0.061
1986,6,0.049
1987,6,0.127
1988,6,0.221
1989,6,0.074
1990,6,0.277
1991,6,0.306
1992,6,0.13
1993,6,0.179
1994,6,0.262
1995,6,0.312
1996,6,0.168
1997,6,0.411
1998,6,0.591
1999,6,0.273
2000,6,0.27
2001,6,0.419
2002,6,0.471
2003,6,0.454
2004,6,0.322
2005,6,0.552
2006,6,0.518
2007,6,0.42
2008,6,0.365
2009,6,0.546
2010,6,0.585
2011,6,0.494
2012,6,0.556
2013,6,0.501
2014,6,0.625
2015,6,0.743
2017,6,0.641
2018,6,0.573
2019,6,0.708
2020,6,0.682
2021,6,0.672
1850,7,-0.125
1851,7,-0.212
1852,7,-0.018
1853,7,-0.059
1854,7,-0.227
1855,7,-0.271
1856,7,-0.304
1857,7,-0.541
1858,7,-0.329
1859,7,-0.274
1860,7,-0.109
1861,7,-0.221
1862,7,-0.344
1863,7,-0.423
1864,7,-0.159
1865,7,-0.136
1866,7,0.018
1867,7,-0.247
1868,7,0.138
1869,7,-0.293
1870,7,0.018
1871,7,-0.013
1872,7,-0.113
1873,7,-0.15
1874,7,-0.169
1875,7,-0.299
1876,7,-0.137
1877,7,0.013
1878,7,-0.049
1879,7,-0.23
1880,7,-0.247
1881,7,-0.148
1882,7,-0.187
1883,7,-0.2
1884,7,-0.424
1885,7,-0.316
1886,7,-0.28
1887,7,-0.274
1888,7,-0.304
1889,7,-0.191
1890,7,-0.405
1891,7,-0.323
1892,7,-0.526
1893,7,-0.277
1894,7,-0.315
1895,7,-0.348
1896,7,-0.112
1897,7,-0.157
1898,7,-0.377
1899,7,-0.275
1900,7,-0.19
1901,7,-0.188
1902,7,-0.391
1903,7,-0.485
1904,7,-0.522
1905,7,-0.297
1906,7,-0.315
1907,7,-0.402
1908,7,-0.469
1909,7,-0.573
1910,7,-0.466
1911,7,-0.51
1912,7,-0.453
1913,7,-0.431
1914,7,-0.328
1915,7,-0.1
1916,7,-0.378
1917,7,-0.122
1918,7,-0.336
1919,7,-0.362
1920,7,-0.285
1921,7,-0.14
1922,7,-0.229
1923,7,-0.352
1924,7,-0.263
1925,7,-0.214
1926,7,-0.239
1927,7,-0.147
1928,7,-0.166
1929,7,-0.358
1930,7,-0.122
1931,7,0.002
1932,7,-0.128
1933,7,-0.185
1934,7,-0.068
1935,7,-0.142
1936,7,-0.021
1937,7,0.055
1938,7,-0.044
1939,7,0.047
1940,7,0.145
1941,7,0.122
1942,7,-0.081
1943,7,0.003
1944,7,0.22
1945,7,-0.084
1946,7,-0.043
1947,7,-0.003
1948,7,-0.104
1949,7,-0.099
1950,7,-0.044
1951,7,0.041
1952,7,0.1
1953,7,0.048
1954,7,-0.199
1955,7,-0.199
1956,7,-0.206
1957,7,0
1958,7,0.041
1959,7,0.03
1960,7,-0.028
1961,7,0.019
1962,7,0.018
1963,7,0.111
1964,7,-0.172
1965,7,-0.183
1966,7,0.03
1967,7,-0.063
1968,7,-0.102
1969,7,0.038
1970,7,-0.05
1971,7,-0.13
1972,7,-0.017
1973,7,0.026
1974,7,-0.127
1975,7,-0.11
1976,7,-0.182
1977,7,0.065
1978,7,-0.066
1979,7,0.054
1980,7,0.061
1981,7,0.089
1982,7,-0.016
1983,7,0.152
1984,7,-0.037
1985,7,-0.06
1986,7,-0.002
1987,7,0.269
1988,7,0.173
1989,7,0.156
1990,7,0.231
1991,7,0.307
1992,7,-0.016
1993,7,0.131
1994,7,0.17
1995,7,0.331
1996,7,0.221
1997,7,0.373
1998,7,0.673
1999,7,0.288
2000,7,0.261
2001,7,0.464
2002,7,0.491
2003,7,0.475
2004,7,0.359
2005,7,0.547
2006,7,0.486
2007,7,0.439
2008,7,0.451
2009,7,0.536
2010,7,0.615
2011,7,0.511
2012,7,0.507
2013,7,0.518
2014,7,0.544
2015,7,0.697
2017,7,0.651
2018,7,0.594
2019,7,0.706
2020,7,0.695
2021,7,0.725
1850,8,-0.237
1851,8,-0.157
1852,8,-0.202
1853,8,-0.148
1854,8,-0.167
1855,8,-0.163
1856,8,-0.309
1857,8,-0.329
1858,8,-0.278
1859,8,-0.1
1860,8,-0.182
1861,8,-0.094
1862,8,-0.7
1863,8,-0.326
1864,8,-0.311
1865,8,-0.21
1866,8,-0.273
1867,8,-0.234
1868,8,-0.041
1869,8,-0.084
1870,8,-0.259
1871,8,-0.221
1872,8,-0.027
1873,8,-0.159
1874,8,-0.363
1875,8,-0.18
1876,8,-0.248
1877,8,0.147
1878,8,-0.023
1879,8,-0.167
1880,8,-0.116
1881,8,-0.123
1882,8,-0.221
1883,8,-0.21
1884,8,-0.413
1885,8,-0.505
1886,8,-0.335
1887,8,-0.362
1888,8,-0.278
1889,8,-0.22
1890,8,-0.416
1891,8,-0.313
1892,8,-0.443
1893,8,-0.291
1894,8,-0.341
1895,8,-0.261
1896,8,-0.063
1897,8,-0.149
1898,8,-0.306
1899,8,-0.147
1900,8,-0.185
1901,8,-0.196
1902,8,-0.368
1903,8,-0.587
1904,8,-0.477
1905,8,-0.301
1906,8,-0.319
1907,8,-0.452
1908,8,-0.532
1909,8,-0.317
1910,8,-0.436
1911,8,-0.5
1912,8,-0.559
1913,8,-0.39
1914,8,-0.214
1915,8,-0.065
1916,8,-0.342
1917,8,-0.226
1918,8,-0.358
1919,8,-0.336
1920,8,-0.233
1921,8,-0.283
1922,8,-0.348
1923,8,-0.377
